#,Team,Points,,Position
64,Ecuador,506,Previous rank: 65,1
65,Slovenia,495,Previous rank: 62,-3
66,Russia,493,Previous rank: 63,-3
67,Mali,462,,-
68,C?te d'Ivoire,458,Previous rank: 71,3
69,Guinea,450,Previous rank: 70,1
70,Saudi Arabia,445,Previous rank: 69,-1
71,Cura?ao,439,Previous rank: 82,11
72,South Africa,433,Previous rank: 76,4
73,China PR,431,Previous rank: 66,-7
74,Uganda,426,Previous rank: 78,4
75,Kyrgyz Republic,424,Previous rank: 115,40
76,Syria,423,Previous rank: 74,-2
77,North Macedonia,422,Previous rank: 75,-2
78,Zambia,413,Previous rank: 77,-1
79,Belarus,410,Previous rank: 93,14
80,Canada,407,Previous rank: 90,10
81,UAE,405,Previous rank: 80,-1
82,Lebanon,404,Previous rank: 88,6
83,Luxembourg,401,,-
84,Palestine,401,Previous rank: 73,-11
85,El Salvador,392,Previous rank: 87,2
86,Cyprus,386,Previous rank: 92,6
87,Oman,383,Previous rank: 103,16
88,Uzbekistan,381,Previous rank: 72,-16
89,Iraq,381,Previous rank: 84,-5
90,Benin,379,Previous rank: 81,-9
91,Congo,378,Previous rank: 89,-2
92,Trinidad and Tobago,374,Previous rank: 79,-13
93,Gabon,374,Previous rank: 95,2
94,Estonia,364,Previous rank: 86,-8
95,Faroe Islands,364,Previous rank: 97,2
96,Georgia,362,Previous rank: 102,6
97,India,354,Previous rank: 99,2
98,Armenia,347,Previous rank: 91,-7
99,Israel,347,Previous rank: 94,-5
100,Libya,341,,-
101,Qatar,339,,-
102,Sierra Leone,332,Previous rank: 98,-4
103,Vietnam,331,Previous rank: 113,10
104,Guinea-Bissau,330,Previous rank: 96,-8
105,Mauritania,323,Previous rank: 104,-1
106,Mozambique,311,,-
107,Namibia,305,Previous rank: 111,4
108,Haiti,302,Previous rank: 85,-23
109,Niger,299,Previous rank: 110,1
110,Zimbabwe,295,Previous rank: 108,-2
111,Madagascar,293,Previous rank: 109,-2
112,Korea DPR,292,Previous rank: 119,7
113,Kenya,289,Previous rank: 105,-8
114,Philippines,289,Previous rank: 122,8
115,Central African Republic,283,Previous rank: 121,6
116,Bahrain,281,Previous rank: 125,9
117,Jordan,272,Previous rank: 118,1
118,Tajikistan,271,Previous rank: 124,6
119,Kazakhstan,269,Previous rank: 136,17
120,Malawi,267,Previous rank: 123,3
121,Chinese Taipei,263,Previous rank: 134,13
122,Thailand,253,Previous rank: 129,7
123,Rwanda,252,Previous rank: 112,-11
124,Antigua and Barbuda,251,Previous rank: 139,15
125,Yemen,250,Previous rank: 140,15
126,St. Kitts and Nevis,245,Previous rank: 107,-19
127,Azerbaijan,245,,-
128,Sudan,245,Previous rank: 117,-11
129,Turkmenistan,242,Previous rank: 114,-15
130,Togo,242,Previous rank: 128,-2
131,Eswatini,240,Previous rank: 133,2
132,Andorra,230,Previous rank: 130,-2
133,New Zealand,229,Previous rank: 120,-13
134,Lithuania,229,Previous rank: 147,13
135,Myanmar,227,Previous rank: 142,7
136,Nicaragua,224,Previous rank: 116,-20
137,Tanzania,223,Previous rank: 146,9
138,Angola,221,Previous rank: 141,3
139,Latvia,217,Previous rank: 131,-8
140,Guatemala,198,Previous rank: 126,-14
141,Comoros,195,Previous rank: 132,-9
142,Hong Kong,194,Previous rank: 145,3
143,Afghanistan,194,Previous rank: 148,5
144,Equatorial Guinea,190,Previous rank: 138,-6
145,Ethiopia,188,Previous rank: 137,-8
146,Burundi,188,Previous rank: 143,-3
147,Maldives,183,Previous rank: 150,3
148,Botswana,176,Previous rank: 149,1
149,Dominican Republic,175,Previous rank: 163,14
150,Lesotho,175,Previous rank: 144,-6
151,Liberia,167,Previous rank: 135,-16
152,Kosovo,164,Previous rank: 176,24
153,Solomon Islands,162,Previous rank: 151,-2
154,Suriname,140,Previous rank: 157,3
155,South Sudan,139,Previous rank: 154,-1
156,Vanuatu,136,,-
157,New Caledonia,135,Previous rank: 155,-2
158,Puerto Rico,128,Previous rank: 167,9
159,Mauritius,122,Previous rank: 158,-1
160,Barbados,118,Previous rank: 152,-8
161,Tahiti,117,Previous rank: 153,-8
162,Indonesia,111,,-
163,Guyana,111,Previous rank: 159,-4
164,Nepal,111,Previous rank: 165,1
165,Chad,110,Previous rank: 169,4
166,Fiji,110,Previous rank: 168,2
167,Belize,107,Previous rank: 177,10
168,St. Lucia,105,Previous rank: 173,5
169,Cambodia,105,Previous rank: 172,3
170,Malaysia,104,Previous rank: 178,8
171,Grenada,103,Previous rank: 161,-10
172,Singapore,102,Previous rank: 171,-1
173,Moldova,98,Previous rank: 170,-3
174,St. Vincent / Grenadines,95,Previous rank: 175,1
175,Gambia,94,Previous rank: 164,-11
176,Kuwait,88,Previous rank: 174,-2
177,Dominica,88,Previous rank: 166,-11
178,Bermuda,82,Previous rank: 184,6
179,Laos,80,Previous rank: 183,4
180,Papua New Guinea,78,Previous rank: 160,-20
181,Liechtenstein,77,,-
182,Cuba,75,,-
183,Aruba,75,Previous rank: 180,-3
184,Bhutan,68,Previous rank: 188,4
185,Malta,62,,-
186,Macao,60,,-
187,S?o Tom? e Pr?ncipe,59,Previous rank: 179,-8
188,Mongolia,51,Previous rank: 189,1
189,Guam,45,Previous rank: 192,3
190,Timor-Leste,44,,-
191,American Samoa,38,Previous rank: 194,3
192,Cook Islands,38,Previous rank: 195,3
193,Samoa,38,Previous rank: 196,3
194,Brunei,36,Previous rank: 193,-1
195,Seychelles,36,Previous rank: 191,-4
196,Gibraltar,34,Previous rank: 209,13
197,Bangladesh,33,,-
198,Djibouti,27,Previous rank: 187,-11
199,US Virgin Islands,18,Previous rank: 198,-1
200,Montserrat,17,Previous rank: 199,-1
201,Sri Lanka,17,Previous rank: 200,-1
202,Turks and Caicos Islands,13,Previous rank: 201,-1
203,Pakistan,10,,-
204,Cayman Islands,8,Previous rank: 202,-2
205,San Marino,8,Previous rank: 204,-1
206,British Virgin Islands,4,Previous rank: 205,-1
207,Anguilla,0,Previous rank: 206,-1
208,Bahamas,0,Previous rank: 207,-1
209,Eritrea,0,Previous rank: 208,-1
210,Somalia,0,,-
211,Tonga,0,,-
